2022-04-17 10:52:27.795 接收deviceList：{} 
2022-04-17 10:54:08.098 接收inDepotList：ZxPlatTaskPo [Hash = 2009382589, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:09.101 接收inDepotList：ZxPlatTaskPo [Hash = 898847906, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:10.102 接收inDepotList：ZxPlatTaskPo [Hash = 1040518784, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:11.100 接收inDepotList：ZxPlatTaskPo [Hash = 543156667, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:12.099 接收inDepotList：ZxPlatTaskPo [Hash = 523333762, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:13.100 接收inDepotList：ZxPlatTaskPo [Hash = 289492691, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:14.099 接收inDepotList：ZxPlatTaskPo [Hash = 788052948, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:15.098 接收inDepotList：ZxPlatTaskPo [Hash = 1053077576, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:16.103 接收inDepotList：ZxPlatTaskPo [Hash = 2004916381, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:17.097 接收inDepotList：ZxPlatTaskPo [Hash = 818407923, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:18.099 接收inDepotList：ZxPlatTaskPo [Hash = 1603765326, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:19.099 接收inDepotList：ZxPlatTaskPo [Hash = 323854606, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:54:20.107 接收inDepotList：ZxPlatTaskPo [Hash = 1756707014, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
